line;x;y
low;0,143589744;0,241189427
low;0,146474359;0,236784141
low;0,149358974;0,232378855
low;0,152564103;0,234581498
low;0,154487179;0,232378855
low;0,156730769;0,225770925
low;0,158974359;0,225770925
low;0,161858974;0,221365639
low;0,163782051;0,219162996
low;0,166346154;0,216960352
low;0,169871795;0,214757709
low;0,174038462;0,210352423
low;0,177564103;0,210352423
low;0,182692308;0,205947137
low;0,186538462;0,20154185
low;0,192307692;0,20154185
low;0,195512821;0,199339207
low;0,2;0,194933921
low;0,204487179;0,192731278
low;0,208974359;0,192731278
low;0,21474359;0,192731278
low;0,219230769;0,190528634
low;0,224038462;0,190528634
low;0,228846154;0,190528634
low;0,233974359;0,190528634
low;0,242948718;0,190528634
low;0,249038462;0,192731278
